cancer_example_id
1295
1299
1315
1321
1327
1342
1359
1361
1365
1408
1418
1426
1449
1452
1455
1465
1483
1525
1526
1535
1558
1559
1595
1598
1601
1616
1618
1678
1688
1747
1765
1783
1801
1805
1819
1822
1823
1825
1828
1838
1848
1849
1850
1858
1864
1875
1888
1889
1906
1918
2021
2042
2074
2106
2112
2116
2135
2142
2146
2241
2255
2270
2278
2331
2334
2336
2376
2378
2456
2457
2459
2477
2493
2496
2497
2502
2523
2565
2566
2575
